"team","eventname","score_change","score","event","ranking","region"
"G2 Esports","fall_reg1",150,150,1,6,"na"
"G2 Esports","fall_reg2",250,400,2,3,"na"
"G2 Esports","fall_reg3",301,701,3,2,"na"
"G2 Esports","fall_maj",220,921,4,3,"na"
"G2 Esports","win_reg1",190,1111,5,3,"na"
"G2 Esports","win_reg2",351,1462,6,3,"na"
"G2 Esports","win_reg3",260,1722,7,3,"na"
"G2 Esports","win_maj",701,2423,8,1,"na"
"G2 Esports","spr_reg1",401,2824,9,1,"na"
"G2 Esports","spr_reg2",401,3225,10,1,"na"
"G2 Esports","spr_reg3",350,3575,11,1,"na"
"G2 Esports","spr_maj",260,3835,12,1,"na"
"FaZe Clan","fall_reg1",301,301,1,1,"na"
"FaZe Clan","fall_reg2",110,411,2,2,"na"
"FaZe Clan","fall_reg3",200,611,3,3,"na"
"FaZe Clan","fall_maj",400,1011,4,2,"na"
"FaZe Clan","win_reg1",260,1271,5,2,"na"
"FaZe Clan","win_reg2",260,1531,6,2,"na"
"FaZe Clan","win_reg3",220,1751,7,2,"na"
"FaZe Clan","win_maj",440,2191,8,3,"na"
"FaZe Clan","spr_reg1",300,2491,9,3,"na"
"FaZe Clan","spr_reg2",180,2671,10,3,"na"
"FaZe Clan","spr_reg3",401,3072,11,2,"na"
"FaZe Clan","spr_maj",260,3332,12,2,"na"
"NRG","fall_reg1",250,250,1,2,"na"
"NRG","fall_reg2",301,551,2,1,"na"
"NRG","fall_reg3",200,751,3,1,"na"
"NRG","fall_maj",500,1251,4,1,"na"
"NRG","win_reg1",351,1602,5,1,"na"
"NRG","win_reg2",300,1902,6,1,"na"
"NRG","win_reg3",300,2202,7,1,"na"
"NRG","win_maj",220,2422,8,2,"na"
"NRG","spr_reg1",130,2552,9,2,"na"
"NRG","spr_reg2",250,2802,10,2,"na"
"NRG","spr_reg3",130,2932,11,3,"na"
"NRG","spr_maj",0,2932,12,3,"na"
"Version1","fall_reg1",200,200,1,4,"na"
"Version1","fall_reg2",150,350,2,7,"na"
